Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,modularity_class,eigencentrality
"터지다",터지다,,156,2,0.646067,0.726087,136.289147,530,0,0.574946
"곧",곧,,158,2,0.648496,0.728986,141.652424,616,1,0.581981
1년,1년,,148,2,0.636531,0.714493,129.291309,546,0,0.548997
"일주일",일주일,,172,2,0.666023,0.749275,205.026383,616,0,0.616519
2월,2월,,171,2,0.66474,0.747826,215.95684,802,2,0.601882
(?),(?),,159,2,0.649718,0.730435,164.547046,576,1,0.563893
"물어보다",물어보다,,128,2,0.613879,0.685507,72.491268,490,0,0.499955
~,~,,148,2,0.636531,0.714493,109.762994,534,0,0.549553
2일,2일,,155,2,0.64486,0.724638,145.922342,556,0,0.561178
"이구",이구,,162,2,0.653409,0.734783,142.476564,694,1,0.598539
"조금씩",조금씩,,178,2,0.673828,0.757971,195.248067,696,1,0.630624
"야하다",야하다,,170,2,0.663462,0.746377,182.90098,642,0,0.612052
"늦다",늦다,,138,2,0.625,0.7,138.471467,462,0,0.484835
"휴지",휴지,,137,2,0.62387,0.698551,113.616442,536,1,0.501899
",,",",,",,152,2,0.641264,0.72029,113.974153,564,1,0.57117
"써다",써다,,158,2,0.648496,0.728986,151.887405,554,0,0.574084
"해보다",해보다,,137,2,0.62387,0.698551,96.54595,488,1,0.516245
"물",물,,166,2,0.658397,0.74058,148.211156,670,1,0.603558
"갈다",갈다,,163,2,0.654649,0.736232,158.961789,640,0,0.604549
"안나",안나,,163,2,0.654649,0.736232,156.710738,608,1,0.591033
"줄다",줄다,,196,2,0.698381,0.784058,239.553642,754,1,0.692749
"아침",아침,,149,2,0.637708,0.715942,122.67687,614,0,0.56209
"예정일",예정일,,113,2,0.59792,0.663768,88.537584,376,0,0.394025
"병",병,,113,2,0.59792,0.663768,54.547845,408,0,0.443871
"빨갛다",빨갛다,,84,2,0.569307,0.621739,33.245129,258,1,0.327615
"노란색",노란색,,119,2,0.604203,0.672464,74.415253,466,1,0.443783
"하얀색",하얀색,,120,2,0.605263,0.673913,66.530341,458,1,0.449821
9월,9월,,143,2,0.630713,0.707246,118.332996,516,0,0.515294
"투명하다",투명하다,,129,2,0.614973,0.686957,75.23869,504,1,0.494386
"첫",첫,,135,2,0.621622,0.695652,95.451295,524,0,0.506723
1월,1월,,112,2,0.596886,0.662319,57.030141,326,0,0.424076
