Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
"자다",자다,,341,10834,0,2,0.997085,0.998538,68.508612
"친구",친구,,340,7578,1,2,0.994186,0.997076,68.119849
"여자",여자,,339,6564,1,2,0.991304,0.995614,67.892153
"와",와,,342,9236,3,1,1,1,70.108923
"좋다",좋다,,340,8664,0,2,0.994186,0.997076,66.853688
"안되다",안되다,,341,7244,1,2,0.997085,0.998538,67.910323
"엄마",엄마,,329,4856,1,2,0.96338,0.980994,56.495782
"사람",사람,,339,6854,3,2,0.991304,0.995614,67.192302
"상태",상태,,341,5576,2,2,0.997085,0.998538,67.910323
"그런데",그런데,,338,5800,1,2,0.988439,0.994152,66.481263
"되어다",되어다,,340,5910,3,2,0.994186,0.997076,68.875252
"하루",하루,,329,4866,0,2,0.96338,0.980994,60.892481
"해주다",해주다,,340,6838,2,2,0.994186,0.997076,68.615377
"걸",걸,,340,5622,1,2,0.994186,0.997076,67.908813
"학교",학교,,336,5386,0,2,0.982759,0.991228,62.783576
"몸",몸,,337,5006,0,2,0.985591,0.99269,65.087596
"부모님",부모님,,333,5228,2,2,0.974359,0.986842,61.428599
"그때",그때,,338,5824,1,2,0.988439,0.994152,66.208882
"궁금하다",궁금하다,,329,4280,2,2,0.96338,0.980994,60.681014
"지",지,,337,5662,0,2,0.985591,0.99269,66.27649
"시간",시간,,331,4812,0,2,0.968839,0.983918,61.993661
....,....,,327,3848,1,2,0.957983,0.97807,59.489015
"알",알,,338,6130,3,2,0.988439,0.994152,66.684923
"이렇게",이렇게,,339,5314,0,2,0.991304,0.995614,67.081598
"이상하다",이상하다,,335,4392,1,2,0.979943,0.989766,64.039059
"정액",정액,,298,2864,0,2,0.88601,0.935673,41.450059
"여",여,,327,3754,0,2,0.957983,0.97807,57.024502
"집",집,,338,5390,3,2,0.988439,0.994152,66.707172
"분",분,,333,4492,2,2,0.974359,0.986842,60.874161
"라고",라고,,339,5462,3,2,0.991304,0.995614,67.625927
"같이",같이,,325,4086,1,2,0.952646,0.975146,53.935587
"이런",이런,,334,4262,1,2,0.977143,0.988304,62.065018
"라",라,,329,3990,1,2,0.96338,0.980994,58.696957
"죠",죠,,321,3178,1,2,0.942149,0.969298,54.922541
"드리다",드리다,,336,4116,2,2,0.982759,0.991228,64.738737
"아무",아무,,335,4470,3,2,0.979943,0.989766,64.370519
"저희",저희,,319,4088,3,2,0.936986,0.966374,51.064248
"보고",보고,,338,5132,0,2,0.988439,0.994152,66.508384
"남다",남다,,328,3354,1,2,0.960674,0.979532,58.168896
"어리다",어리다,,330,4472,0,2,0.966102,0.982456,57.557097
"느끼다",느끼다,,324,3062,0,2,0.95,0.973684,56.579395
"동생",동생,,296,2592,3,2,0.881443,0.932749,39.538274
"들어가다",들어가다,,333,4004,0,2,0.974359,0.986842,63.228993
"건",건,,322,3962,1,2,0.944751,0.97076,54.086002
"도와주다",도와주다,,321,3358,1,2,0.942149,0.969298,55.233623
"주다",주다,,331,4452,3,2,0.968839,0.983918,58.930459
"에게",에게,,328,4954,3,2,0.960674,0.979532,57.181167
"어떡하다",어떡하다,,302,2984,1,2,0.895288,0.94152,41.350567
"아침",아침,,300,2884,0,2,0.890625,0.938596,40.858634
"가능하다",가능하다,,301,2864,3,2,0.89295,0.940058,43.433465
"바로",바로,,328,3800,0,2,0.960674,0.979532,60.677998
"만약",만약,,313,2958,2,2,0.921833,0.957602,50.836164
"살다",살다,,322,3972,1,2,0.944751,0.97076,53.698563
"자꾸",자꾸,,303,2556,1,2,0.897638,0.942982,43.426897
"힘들다",힘들다,,324,3602,0,2,0.95,0.973684,57.678926
"신고",신고,,315,3756,3,2,0.926829,0.960526,48.112192
"말다",말다,,318,3574,0,2,0.934426,0.964912,50.732516
"다니다",다니다,,321,3496,3,2,0.942149,0.969298,51.459606
"다르다",다르다,,303,2970,0,2,0.897638,0.942982,43.516605
"하나",하나,,324,3268,0,2,0.95,0.973684,56.132764
"치다",치다,,314,3116,1,2,0.924324,0.959064,48.40594
"서다",서다,,328,3500,1,2,0.960674,0.979532,59.730756
"버리다",버리다,,332,3910,0,2,0.971591,0.98538,61.1207
"올리다",올리다,,326,3538,0,2,0.955307,0.976608,56.461004
"사실",사실,,320,3494,3,2,0.93956,0.967836,51.975161
"시",시,,309,2650,0,2,0.912,0.951754,48.483459
"고등학교",고등학교,,316,3350,0,2,0.929348,0.961988,50.576131
"제발",제발,,298,2692,1,2,0.88601,0.935673,41.478967
"물어보다",물어보다,,314,2964,3,2,0.924324,0.959064,47.855397
"자",자,,311,2814,3,2,0.91689,0.954678,50.575634
"고등학생",고등학생,,294,2530,0,2,0.876923,0.929825,39.582496
"끝",끝,,314,2662,2,2,0.924324,0.959064,48.198068
"아빠",아빠,,302,2208,1,2,0.895288,0.94152,40.158155
"내",내,,330,3668,3,2,0.966102,0.982456,59.015052
"니",니,,332,3776,1,2,0.971591,0.98538,61.518404
"대해",대해,,298,3002,3,2,0.88601,0.935673,40.342597
"미치다",미치다,,318,3036,1,2,0.934426,0.964912,52.893526
"그렇게",그렇게,,320,3206,1,2,0.93956,0.967836,55.278948
"반",반,,317,3122,0,2,0.93188,0.96345,55.061957
"심각하다",심각하다,,304,2722,1,2,0.9,0.944444,42.855618
"관련",관련,,315,2728,0,2,0.926829,0.960526,51.771735
"곳",곳,,315,2948,3,2,0.926829,0.960526,51.522639
"일단",일단,,317,3654,2,2,0.93188,0.96345,49.679913
"입다",입다,,305,2308,1,2,0.902375,0.945906,45.31654
"그게",그게,,302,2670,1,2,0.895288,0.94152,44.065941
"매일",매일,,304,2408,2,2,0.9,0.944444,46.512237
"기억",기억,,311,3094,3,2,0.91689,0.954678,49.633318
"청소년",청소년,,293,2524,0,2,0.87468,0.928363,38.643162
"글",글,,330,4106,0,2,0.966102,0.982456,58.766726
"갈다",갈다,,301,2914,0,2,0.89295,0.940058,41.643581
"상황",상황,,326,3892,3,2,0.955307,0.976608,57.712689
"쓰다",쓰다,,312,3308,0,2,0.919355,0.95614,47.350276
"싫다",싫다,,318,3226,3,2,0.934426,0.964912,53.141251
"얼마",얼마,,322,2894,0,2,0.944751,0.97076,52.988681
"얼굴",얼굴,,323,2710,1,2,0.947368,0.972222,54.034191
"앞",앞,,319,2976,1,2,0.936986,0.966374,48.563135
"두다",두다,,311,2650,0,2,0.91689,0.954678,46.48651
"거기",거기,,317,2672,1,2,0.93188,0.96345,51.778361
"일어나다",일어나다,,285,2108,1,2,0.857143,0.916667,34.985192
"성인",성인,,291,2034,2,2,0.870229,0.925439,38.683649
"식",식,,330,3818,3,2,0.966102,0.982456,59.638702
"난",난,,316,3182,0,2,0.929348,0.961988,50.694131
"빨리",빨리,,297,2006,0,2,0.883721,0.934211,42.658893
"혼자",혼자,,295,2472,1,2,0.879177,0.931287,40.210858
"어",어,,295,2356,1,2,0.879177,0.931287,39.109184
"다리",다리,,283,1682,0,2,0.852868,0.913743,34.762207
"하지만",하지만,,330,3504,3,2,0.966102,0.982456,57.962094
"참다",참다,,285,1764,0,2,0.857143,0.916667,37.229828
"성욕",성욕,,261,1574,0,2,0.808511,0.881579,30.158429
"오빠",오빠,,242,1594,3,2,0.773756,0.853801,18.744977
"가지",가지,,305,2634,3,2,0.902375,0.945906,44.20138
"얘기",얘기,,303,2606,3,2,0.897638,0.942982,40.007556
"자기",자기,,321,2726,3,2,0.942149,0.969298,50.118566
"께",께,,311,2974,2,2,0.91689,0.954678,46.17128
"등",등,,321,3006,0,2,0.942149,0.969298,52.95484
"경험",경험,,278,2114,0,2,0.842365,0.906433,33.340372
"당하다",당하다,,310,3238,3,2,0.914439,0.953216,46.671558
"술",술,,288,2212,3,2,0.863636,0.921053,37.641851
"미성년",미성년,,269,2080,3,2,0.824096,0.893275,30.524412
"마음",마음,,318,3030,0,2,0.934426,0.964912,51.887498
"앉다",앉다,,311,2600,0,2,0.91689,0.954678,48.589479
"생활",생활,,281,1954,0,2,0.848635,0.910819,35.979897
"소리",소리,,318,2892,1,2,0.934426,0.964912,53.86616
"연락",연락,,291,2818,3,2,0.870229,0.925439,39.76081
"죽다",죽다,,303,2490,1,2,0.897638,0.942982,44.450087
"자고",자고,,290,2242,3,2,0.86802,0.923977,33.850812
"말고",말고,,294,2110,0,2,0.876923,0.929825,41.685577
"""","""",,265,1488,3,2,0.816229,0.887427,27.969231
"해결",해결,,293,2160,1,2,0.87468,0.928363,38.651367
"라는",라는,,307,2738,3,2,0.907162,0.94883,43.998188
"일이",일이,,310,2322,3,2,0.914439,0.953216,48.987313
"얼마나",얼마나,,285,1498,1,2,0.857143,0.916667,35.270376
"손가락",손가락,,259,1398,1,2,0.804706,0.878655,25.668655
"여친",여친,,224,1236,0,2,0.743478,0.827485,16.301107
"초등학교",초등학교,,296,2202,0,2,0.881443,0.932749,37.419156
"선생님",선생님,,266,1602,2,2,0.818182,0.888889,27.391543
19,19,,291,1968,0,2,0.870229,0.925439,36.890762
"위",위,,301,2070,3,2,0.89295,0.940058,45.11676
"속",속,,278,1692,1,2,0.842365,0.906433,33.853751
"줄다",줄다,,268,1718,0,2,0.822115,0.891813,27.316311
"자위행위",자위행위,,238,1464,0,2,0.766816,0.847953,21.900719
"사이",사이,,289,2184,3,2,0.865823,0.922515,37.559089
"내다",내다,,307,2554,3,2,0.907162,0.94883,45.82347
"눕다",눕다,,283,1732,1,2,0.852868,0.913743,36.423776
"차다",차다,,306,2080,0,2,0.904762,0.947368,46.853603
"구",구,,284,1876,1,2,0.855,0.915205,34.210875
"찍다",찍다,,290,1958,3,2,0.86802,0.923977,36.072052
:,:,,207,766,2,2,0.716981,0.802632,12.368887
"감사하다",감사하다,,291,2202,2,2,0.870229,0.925439,39.750293
"어떤",어떤,,268,1438,2,2,0.822115,0.891813,27.226241
"여서",여서,,273,1760,1,2,0.832117,0.899123,29.202452
"들어서다",들어서다,,276,1672,1,2,0.838235,0.903509,32.530128
"기분",기분,,286,1938,1,2,0.859296,0.918129,36.196881
"이라는",이라는,,290,1964,3,2,0.86802,0.923977,39.950146
"뭔",뭔,,298,1830,1,2,0.88601,0.935673,40.594367
"나가다",나가다,,295,2452,3,2,0.879177,0.931287,37.641547
"머리",머리,,291,1806,0,2,0.870229,0.925439,40.206537
"옆",옆,,314,2592,1,2,0.924324,0.959064,46.167699
"부끄럽다",부끄럽다,,256,1420,1,2,0.799065,0.874269,29.230593
"사",사,,285,2038,0,2,0.857143,0.916667,36.755399
"넘어가다",넘어가다,,253,1636,3,2,0.793503,0.869883,22.371217
"쉬다",쉬다,,312,2550,0,2,0.919355,0.95614,48.152545
"좋아하다",좋아하다,,274,1732,0,2,0.834146,0.900585,32.232703
"물론",물론,,294,2162,3,2,0.876923,0.929825,38.13619
"라서",라서,,287,1734,1,2,0.861461,0.919591,38.830353
"여성",여성,,255,1464,2,2,0.797203,0.872807,25.130991
"ㅈㅇ",ㅈㅇ,,181,634,1,2,0.67992,0.76462,10.593702
"걔",걔,,210,908,3,2,0.721519,0.807018,13.315194
"거나",거나,,281,1652,1,2,0.848635,0.910819,32.7231
"라도",라도,,267,1550,1,2,0.820144,0.890351,25.370592
