Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
젖꼭지,젖꼭지,,184,390,1,2,0.604545,0.672932,2.464879
163,163,,318,1232,1,2,0.713137,0.798872,10.958536
여러,여러,,432,2320,0,2,0.841772,0.906015,12.801505
상,상,,422,3264,0,2,0.82866,0.896617,14.514988
남기다,남기다,,334,846,1,2,0.728767,0.81391,8.424715
목욕탕,목욕탕,,444,2998,0,2,0.858065,0.917293,18.257436
11,11,,426,2282,1,2,0.833856,0.900376,17.081987
쫌,쫌,,364,1012,1,2,0.76,0.842105,11.353481
?..,?..,,458,2158,0,2,0.877888,0.930451,25.39789
작고,작고,,436,2020,1,2,0.847134,0.909774,18.196645
브라,브라,,280,800,1,2,0.678571,0.763158,8.562626
그러면,그러면,,464,2420,0,2,0.886667,0.93609,23.516768
도움,도움,,348,1170,1,2,0.743017,0.827068,11.906422
175,175,,292,1274,1,2,0.689119,0.774436,10.039514
예상,예상,,292,1072,1,2,0.689119,0.774436,9.153302
우유,우유,,324,1368,1,2,0.718919,0.804511,13.047004
소리,소리,,430,1772,0,2,0.839117,0.904135,19.350069
심지어,심지어,,430,1904,0,2,0.839117,0.904135,17.782807
몽우리,몽우리,,234,590,1,2,0.640964,0.719925,4.701234
173,173,,308,1150,1,2,0.703704,0.789474,11.50162
.(,.(,,422,1426,0,2,0.82866,0.896617,16.472676
에서도,에서도,,430,2660,0,2,0.839117,0.904135,12.746109
된거,된거,,398,1438,0,2,0.798799,0.87406,9.311969
가만히,가만히,,362,1134,0,2,0.757835,0.840226,12.243717
155,155,,314,1108,1,2,0.709333,0.795113,9.614522
닫히다,닫히다,,278,1202,1,2,0.676845,0.761278,6.151343
대충,대충,,444,2066,0,2,0.858065,0.917293,15.706409
156,156,,292,1022,1,2,0.689119,0.774436,7.829294
함몰,함몰,,234,542,1,2,0.640964,0.719925,4.970862
가안,가안,,234,694,1,2,0.640964,0.719925,5.04002
작아지다,작아지다,,262,618,1,2,0.663342,0.746241,6.625633
성장기,성장기,,328,1084,1,2,0.722826,0.808271,11.447089
도안,도안,,264,850,0,2,0.665,0.74812,4.340741
기본,기본,,406,2044,1,2,0.808511,0.881579,15.165461
초딩,초딩,,418,1498,1,2,0.823529,0.892857,16.808079
가닥,가닥,,446,2640,0,2,0.860841,0.919173,20.715135
새끼,새끼,,354,1154,0,2,0.749296,0.832707,6.132345
키안,키안,,232,798,1,2,0.639423,0.718045,5.459333
157,157,,262,930,1,2,0.663342,0.746241,7.924638
암튼,암튼,,378,1270,0,2,0.77551,0.855263,9.994124
어른,어른,,440,2890,0,2,0.852564,0.913534,16.116812
5~6,5~6,,440,2234,0,2,0.852564,0.913534,18.704154
아무튼,아무튼,,426,1862,0,2,0.833856,0.900376,13.226178
먼저,먼저,,358,1074,0,2,0.753541,0.836466,5.86771
비교,비교,,300,726,1,2,0.696335,0.781955,5.66893
찍다,찍다,,334,750,1,2,0.728767,0.81391,10.015159
적당하다,적당하다,,352,872,1,2,0.747191,0.830827,10.540251
장판,장판,,314,1284,1,2,0.709333,0.795113,10.095002
아시,아시,,400,1138,0,2,0.801205,0.87594,13.016271
헤어지다,헤어지다,,412,3168,0,2,0.815951,0.887218,7.891698
둘,둘,,378,1130,0,2,0.77551,0.855263,12.655133
성의,성의,,402,1752,0,2,0.803625,0.87782,12.65188
살때,살때,,282,742,1,2,0.680307,0.765038,6.252834
167,167,,294,1036,1,2,0.690909,0.776316,9.025991
전체,전체,,316,1682,0,2,0.71123,0.796992,6.384755
200,200,,240,716,1,2,0.645631,0.725564,3.729451
70,70,,262,708,1,2,0.663342,0.746241,4.922988
